course_id,teacher_id,section_group
23CSE451,T001,A
23CSE452,T002,A
23CSE453,T003,A
23CSE454,T004,A
23CSE455,T005,A
23CSE456,T044,A
23CSE457,T045,A
23CSE458,T046,A
23CSE459,T047,A
23CSE460,T048,A
23CSE461,T001,A
23CSE462,T002,A
23CSE463,T003,A
23CSE464,T004,A
23CSE465,T005,A
23CSE466,T044,A
23CSE331,T045,A
23CSE332,T046,A
23CSE333,T047,A
23CSE334,T048,A
23CSE335,T001,A
23CSE336,T002,A
23CSE341,T003,A
23CSE342,T004,A
23CSE343,T005,A
23CSE344,T044,A
23CSE345,T045,A
23CSE351,T046,A
23CSE352,T047,A
23CSE353,T048,A
23CSE354,T001,A
23CSE355,T002,A
23CSE356,T003,A
23CSE357,T004,A
23CSE361,T005,A
23CSE362,T044,A
23CSE363,T045,A
23CSE364,T046,A
23CSE365,T047,A
23CSE371,T048,A
23CSE372,T001,A
23CSE373,T002,A
23CSE374,T003,A
23CSE375,T004,A
23CSE470,T005,A
23CSE471,T044,A
23CSE472,T045,A
23CSE473,T046,A
23CSE474,T047,A
23CSE475,T048,A
23CSE476,T001,A
23CSE477,T002,A
23CSE478,T003,A
23CSE479,T004,A
23CSE480,T005,A
22ADM201,T044,A
22ADM211,T045,A
22AVP210,T046,A
22AVP218,T047,A
22AVP212,T048,A
22AVP201,T001,A
22AVP204,T002,A
22AVP205,T003,A
22AVP206,T004,A
22AVP207,T005,A
22AVP208,T044,A
22AVP213,T045,A
22AVP214,T046,A
22AVP215,T047,A
22AVP219,T048,A
22AVP220,T001,A
22AVP221,T002,A
22AVP209,T003,A
HUM23CUL230,T004,A
HUM23CUL231,T005,A
HUM23CUL232,T044,A
HUM23CUL233,T045,A
HUM23ENG230,T046,A
HUM23ENG231,T047,A
HUM23ENG232,T048,A
HUM23ENG233,T001,A
HUM23ENG234,T002,A
HUM23FRE230,T003,A
HUM23FRE231,T004,A
HUM23GER230,T005,A
HUM23GER231,T044,A
HUM23GER232,T045,A
HUM23GER233,T046,A
HUM23HIN230,T047,A
HUM23HIN231,T048,A
HUM23HUM230,T001,A
HUM23HUM239,T002,A
HUM23HUM244,T003,A
HUM23SWK230,T004,A
HUM23SWK231,T005,A
HUM23TAM230,T044,A
HUM23TAM231,T045,A
HUM23MNG331,T046,A
HUM23MNG332,T047,A
HUM23MNG333,T048,A
HUM23MNG334,T001,A
HUM23MNG335,T002,A
HUM23MNG336,T003,A
HUM23MEE321,T004,A
HUM23MEE322,T005,A
HUM23MEE323,T044,A
HUM23MEE324,T045,A
HUM23CSE321,T046,A
HUM23CSE322,T047,A
HUM23CSE323,T048,A
HUM23CSE324,T001,A
23CSE451,T035,B
23CSE452,T021,B
23CSE453,T059,B
23CSE454,T033,B
23CSE455,T082,B
23CSE456,T086,B
23CSE457,T060,B
23CSE458,T072,B
23CSE459,T079,B
23CSE460,T056,B
23CSE461,T062,B
23CSE462,T043,B
23CSE463,T081,B
23CSE464,T064,B
23CSE465,T063,B
23CSE466,T052,B
23CSE331,T018,B
23CSE332,T034,B
23CSE333,T071,B
23CSE334,T022,B
23CSE335,T080,B
23CSE336,T077,B
23CSE341,T068,B
23CSE342,T028,B
23CSE343,T038,B
23CSE344,T012,B
23CSE345,T053,B
23CSE351,T036,B
23CSE352,T006,B
23CSE353,T055,B
23CSE354,T070,B
23CSE355,T023,B
23CSE356,T084,B
23CSE357,T049,B
23CSE361,T050,B
23CSE362,T027,B
23CSE363,T024,B
23CSE364,T066,B
23CSE365,T009,B
23CSE371,T029,B
23CSE372,T040,B
23CSE373,T037,B
23CSE374,T061,B
23CSE375,T007,B
23CSE470,T020,B
23CSE471,T058,B
23CSE472,T030,B
23CSE473,T057,B
23CSE474,T039,B
23CSE475,T065,B
23CSE476,T067,B
23CSE477,T011,B
23CSE478,T075,B
23CSE479,T031,B
23CSE480,T026,B
22ADM201,T025,B
22ADM211,T042,B
22AVP210,T019,B
22AVP218,T078,B
22AVP212,T085,B
22AVP201,T076,B
22AVP204,T014,B
22AVP205,T069,B
22AVP206,T032,B
22AVP207,T008,B
22AVP208,T041,B
22AVP213,T017,B
22AVP214,T010,B
22AVP215,T054,B
22AVP219,T016,B
22AVP220,T013,B
22AVP221,T015,B
22AVP209,T074,B
HUM23CUL230,T051,B
HUM23CUL231,T073,B
HUM23CUL232,T083,B
HUM23CUL233,T035,B
HUM23ENG230,T021,B
HUM23ENG231,T059,B
HUM23ENG232,T033,B
HUM23ENG233,T082,B
HUM23ENG234,T086,B
HUM23FRE230,T060,B
HUM23FRE231,T072,B
HUM23GER230,T079,B
HUM23GER231,T056,B
HUM23GER232,T062,B
HUM23GER233,T043,B
HUM23HIN230,T081,B
HUM23HIN231,T064,B
HUM23HUM230,T063,B
HUM23HUM239,T052,B
HUM23HUM244,T018,B
HUM23SWK230,T034,B
HUM23SWK231,T071,B
HUM23TAM230,T022,B
HUM23TAM231,T080,B
HUM23MNG331,T077,B
HUM23MNG332,T068,B
HUM23MNG333,T028,B
HUM23MNG334,T038,B
HUM23MNG335,T012,B
HUM23MNG336,T053,B
HUM23MEE321,T036,B
HUM23MEE322,T006,B
HUM23MEE323,T055,B
HUM23MEE324,T070,B
HUM23CSE321,T023,B
HUM23CSE322,T084,B
HUM23CSE323,T049,B
HUM23CSE324,T050,B
